web-scraper-order,web-scraper-start-url,category,category-href,name_of_card,structure_deck,card_details,number,rarity,attribute_monster_type_card_type,level,a_d,market_price_history,listed_median_price,first_edition_price,most_recent_sale_price,current_quantity_on_tcg_player,current_sellers,three_month_snapshot_lowest_sale_price,three_month_snapshot_highest_sale_price,average_daily_sold,total_sold,current_listings
"1740521971-1","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN038Blue-Eyes Spirit Dragon70 listings from $0.10Market Price:$0.19","https://www.tcgplayer.com/product/616595/yugioh-structure-deck-blue-eyes-white-destiny-blue-eyes-spirit-dragon?page=1","Blue-Eyes Spirit Dragon - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","1 Tuner + 1+ non-Tuner ""Blue-Eyes"" monsters
Neither player can Special Summon 2 or more monsters at the same time. Once per turn, when an effect of a card in the GY is activated (Quick Effect): You can negate the activation. (Quick Effect): You can Tribute this Synchro Summoned card; Special Summon 1 LIGHT Dragon Synchro Monster from your Extra Deck in Defense Position, except ""Blue-Eyes Spirit Dragon"", but destroy it during the End Phase of this turn.","SDWD-EN038","Common","LIGHT Dragon/Synchro/Effect Monster","9","2500 / 3000","$0.19","$0.22","(-47.37%)","$0.14","5037","70","$0.01","$0.49","6","540","70 Listings"
"1740521975-2","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN003Blue-Eyes White Dragon (SDWD-EN003)79 listings from $0.12Market Price:$0.21","https://www.tcgplayer.com/product/616560/yugioh-structure-deck-blue-eyes-white-destiny-blue-eyes-white-dragon-sdwd-en003?page=1","Blue-Eyes White Dragon (SDWD-EN003) - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.","SDWD-EN003","Common","LIGHT Dragon/Normal Monster","8","3000 / 2500","$0.21","$0.24","(-91.06%)","$0.19","4860","79","$0.01","$2.35","9","793","79 Listings"
"1740521979-3","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN037Blue-Eyes Tyrant Dragon73 listings from $0.07Market Price:$0.15","https://www.tcgplayer.com/product/616594/yugioh-structure-deck-blue-eyes-white-destiny-blue-eyes-tyrant-dragon?page=1","Blue-Eyes Tyrant Dragon - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","""Blue-Eyes White Dragon"" + 1 Dragon monster
Must first be either Fusion Summoned, or Special Summoned from your Extra Deck by Tributing 1 ""Blue-Eyes White Dragon"" equipped with a Fusion Monster. Unaffected by Trap Cards or effects. This card can attack all monsters your opponent controls, once each. Once per turn, at the end of the Damage Step, if this card battled: You can target 1 Trap in your GY; Set it to your Spell & Trap Zone.","SDWD-EN037","Common","LIGHT Dragon/Fusion/Effect Monster","8","3400 / 2900","$0.15","$0.20","(-67.35%)","N/A","5121","73","$0.01","$0.69","6","532","73 Listings"
"1740521983-4","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN028True Light77 listings from $0.10Market Price:$0.20","https://www.tcgplayer.com/product/616585/yugioh-structure-deck-blue-eyes-white-destiny-true-light?page=1","True Light - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Your opponent cannot target ""Blue-Eyes White Dragon"" in your Monster Zone with card effects. If this face-up card is sent from the Spell & Trap Zone to the GY: Destroy all monsters you control. You can only use the following effect of ""True Light"" once per turn. You can activate 1 of these effects;
• Special Summon 1 ""Blue-Eyes White Dragon"" from your hand or GY.
• Set 1 Spell/Trap directly from your Deck, that specifically lists ""Blue-Eyes White Dragon"" in its text, with a different name from the cards you control and in your GY.","SDWD-EN028","Common","TRAP /Continuous Trap","","","$0.20","$0.25","(-89.56%)","$0.25","5125","77","$0.05","$1.99","6","541","77 Listings"
"1740521987-5","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN012The White Stone of Ancients70 listings from $0.11Market Price:$0.17","https://www.tcgplayer.com/product/616569/yugioh-structure-deck-blue-eyes-white-destiny-the-white-stone-of-ancients?page=1","The White Stone of Ancients - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Once per turn, during the End Phase, if this card is in the GY because it was sent there this turn: You can Special Summon 1 ""Blue-Eyes"" monster from your Deck. You can banish this card from your GY, then target 1 ""Blue-Eyes"" monster in your GY; add it to your hand. You can only use this effect of ""The White Stone of Ancients"" once per turn.","SDWD-EN012","Common","LIGHT Dragon/Tuner/Effect Monster","1","600 / 500","$0.17","$0.20","(-69.39%)","$0.25","4708","70","$0.03","$0.59","9","831","70 Listings"
"1740521991-6","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN035Neo Blue-Eyes Ultimate Dragon67 listings from $0.19Market Price:$0.23","https://www.tcgplayer.com/product/616592/yugioh-structure-deck-blue-eyes-white-destiny-neo-blue-eyes-ultimate-dragon?page=1","Neo Blue-Eyes Ultimate Dragon - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""
At the end of the Damage Step, if this is the only face-up card you control, and this Fusion Summoned card attacked: You can send 1 ""Blue-Eyes"" Fusion Monster from your Extra Deck to the Graveyard; this card can attack again in a row. You can use this effect of ""Neo Blue-Eyes Ultimate Dragon"" up to twice per turn. During either player's turn, when a card or effect is activated that targets a ""Blue-Eyes"" monster(s) you control: You can banish this card from your Graveyard; negate the activation, and if you do, destroy that card.","SDWD-EN035","Common","LIGHT Dragon/Fusion/Effect Monster","12","4500 / 3800","$0.23","$0.25","(-84.51%)","$0.25","4720","67","$0.01","$1.58","10","945","67 Listings"
"1740521995-7","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN013Sage with Eyes of Blue95 listings from $0.10Market Price:$0.20","https://www.tcgplayer.com/product/616570/yugioh-structure-deck-blue-eyes-white-destiny-sage-with-eyes-of-blue?page=1","Sage with Eyes of Blue - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","When this card is Normal Summoned: You can add 1 Level 1 LIGHT Tuner from your Deck to your hand, except ""Sage with Eyes of Blue"". You can discard this card, then target 1 Effect Monster you control; send it to the GY, and if you do, Special Summon 1 ""Blue-Eyes"" monster from your Deck. You can only use this effect of ""Sage with Eyes of Blue"" once per turn.","SDWD-EN013","Common","LIGHT Spellcaster/Tuner/Effect Monster","1","0 / 1500","$0.20","$0.25","(-92.73%)","$0.25","13542","95","$0.01","$3.94","12","1116","95 Listings"
"1740521999-8","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyUltra Rare, #SDWD-EN043Blue-Eyes Ultimate Spirit Dragon120 listings from $0.19Market Price:$0.24","https://www.tcgplayer.com/product/616600/yugioh-structure-deck-blue-eyes-white-destiny-blue-eyes-ultimate-spirit-dragon?page=1","Blue-Eyes Ultimate Spirit Dragon - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","2+ Tuners + 1 non-Tuner ""Blue-Eyes"" monster
Your opponent cannot banish cards from your GY. You can only use each of the following effects of ""Blue-Eyes Ultimate Spirit Dragon"" once per turn. When a card or effect is activated on the field (Quick Effect): You can negate the activation, and if you do, this card gains 1000 ATK until the end of this turn. If this card is destroyed by battle or card effect: You can Special Summon 1 LIGHT Dragon monster from your GY, except ""Blue-Eyes Ultimate Spirit Dragon"".","SDWD-EN043","Ultra Rare","LIGHT Dragon/Synchro/Effect Monster","12","3500 / 4000","$0.24","$0.25","(-93.68%)","$0.20","6179","120","$0.08","$3.99","20","1831","120 Listings"
"1740522002-9","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyCommon / Short Print, #SDWD-EN026Called by the Grave75 listings from $0.24Market Price:$0.27","https://www.tcgplayer.com/product/616583/yugioh-structure-deck-blue-eyes-white-destiny-called-by-the-grave?page=1","Called by the Grave - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","Target 1 monster in your opponent's GY; banish it, and if you do, until the end of the next turn, its effects are negated, as well as the activated effects and effects on the field of monsters with the same original name.","SDWD-EN026","Common","SPELL /Quick-Play Spell","","","$0.27","$0.30","(-82.91%)","$0.48","5252","74","$0.01","$1.59","19","1709","75 Listings"
"1740522006-10","https://www.tcgplayer.com/search/yugioh/structure-deck-blue-eyes-white-destiny?view=grid&productLineName=yugioh&setName=structure-deck-blue-eyes-white-destiny","Structure Deck: Blue-Eyes White DestinyUltra Rare, #SDWD-EN032Indigo-Eyes Silver Dragon122 listings from $0.21Market Price:$0.27","https://www.tcgplayer.com/product/616589/yugioh-structure-deck-blue-eyes-white-destiny-indigo-eyes-silver-dragon?page=1","Indigo-Eyes Silver Dragon - Structure Deck: Blue-Eyes White Destiny (SDWD)","Structure Deck: Blue-Eyes White Destiny","2 Level 8 Dragon monsters
Cannot attack directly unless this card has a Normal Monster as material. You can only use each of the following effects of ""Indigo-Eyes Silver Dragon"" once per turn. If this card is Xyz Summoned: You can negate the effects of all face-up cards your opponent currently controls. You can detach 1 material from this card, then target 1 Normal Monster in your GY or banishment; Special Summon it, and if you do, it gains 1000 ATK.","SDWD-EN032","Ultra Rare","LIGHT Dragon/Xyz/Effect Monster","4000 / 0","","$0.27","$0.30","(-94.80%)","$0.23","5686","116","$0.12","$5.00","22","2026","122 Listings"
